cycle,predicted_resonance,stability_forecast
201,0.1576702198723679,0.9247773342121389
202,0.12651193845978467,0.9693221352563524
203,0.12682025975489966,0.999691726231011
204,0.15236303345604382,0.9747806830963842
205,0.20315209485916555,0.9504791421246872
206,0.28413486429010987,0.9222095815035882
207,0.40498650155810867,0.8861654237637172
208,0.5804690821494245,0.8390520128360842
209,0.8305383958589088,0.7787468033709692
210,1.1782527697174543,0.7063005853172079
211,1.6412120764110067,0.6294182450965603
212,2.2110838888318423,0.5655979366830511
213,2.827366137565644,0.5399481034665183
214,3.3822081271245743,0.574162977774528
215,3.7784216359348286,0.6728630184171976
216,3.9764626463204777,0.8203362101436397
217,3.986653605131928,0.9898607930597058
218,3.8452040589349257,0.868098973374585
219,3.6026492949017475,0.7846207774038371
220,3.3196265506664204,0.7535026498232351
221,3.0577893771408036,0.7696363306759342
222,2.8650606821812272,0.8247056906007602
223,2.7654819313362475,0.9052186603270969
224,2.75928009835234,0.9938173586872634
225,2.8289320447534374,0.9327183994128171
226,2.946171870041386,0.889371873719027
227,3.078799595574896,0.8757910660809952
228,3.1974521361973753,0.888116331505607
229,3.281208081178374,0.919655675292003
230,3.3203803782469326,0.9615850165930774
231,3.3161508653585763,0.9957794189044654
232,3.2780326390437002,0.9625991296157909
233,3.220334647096394,0.943934980358801
234,3.158444123929536,0.9399857878255963
235,3.1055615708373905,0.9484914033233619
236,3.0704601857835603,0.9655075232629876
237,3.0565935770682287,0.9862290898544221
238,3.062479642627564,0.9941312233866274
239,3.0829945971675046,0.9796940454912357
240,3.1111194662341846,0.9722669531539961
241,3.139713055740333,0.9718113385467139
242,3.1629638466937973,0.9770174259136185
243,3.177290566189005,0.9857754195960443
244,3.1816138755457914,0.9956860226918228
245,3.1770704151995557,0.9954668455556631
246,3.1663415830019366,0.9893285164446525
247,3.152809236644423,0.986558804217826
248,3.1397400899864496,0.987015883810911
249,3.129655285168807,0.9899658763136076
250,3.1239748582964895,0.9943356762471164
